Classifier,K_Nearest_Neighbour_Accu.,Logistic_Regression_Accu.,Random_Forest_Accu.,Support_Vector_Machine_Accu.,Decision_Tree_Accu.,Gaussian_Naive_Bayes_Accu.,Gradient_Boosting_Regressor_Accu.,AdaBoost_Classifier_Accu.,Linear_Discriminant_Analysis_Accu.
Iris,0.96,0.93,0.93,0.98,0.91,0.93,0.90,0.93,0.96
Breast_Cancer,0.95,0.98,0.97,0.64,0.92,0.95,0.87,0.98,0.96
caravan-insurance-challenge,0.53,0.59,0.53,0.57,0.52,0.54,-0.01,0.59,0.59
german_credit_data,0.32,0.40,0.40,0.40,0.38,0.42,-0.06,0.42,0.39
Bank_Marketing,0.90,0.91,0.90,0.88,0.89,0.85,0.44,0.90,0.91
glass-classification,0.68,0.58,0.74,0.68,0.78,0.32,0.77,0.49,0.68
horse,0.61,0.60,0.70,0.63,0.56,0.29,0.22,0.64,0.57
indian_liver_patient,0.73,0.75,0.77,0.75,0.73,0.34,0.08,0.74,0.75
Kyphosis,0.64,0.68,0.68,0.60,0.56,0.68,-0.22,0.68,0.76
mushroom-classification,1.00,0.95,1.00,1.00,1.00,0.91,0.99,1.00,0.94
pima-indians-diabetes-database,0.74,0.79,0.76,0.69,0.70,0.76,0.26,0.74,0.79
Pokemon,0.95,0.93,0.96,0.92,0.97,0.92,0.63,0.97,0.94
red-wine-quality-cortez-et-al-2009,0.49,0.60,0.66,0.58,0.61,0.53,0.40,0.36,0.62
UCI_Credit_Card,0.75,0.77,0.80,0.77,0.73,0.38,0.23,0.81,0.81
sensor_readings_24,0.85,0.68,0.99,0.90,0.99,0.50,0.95,0.79,0.66
zoo,0.97,0.90,0.90,0.90,0.94,0.87,0.98,0.74,0.94
Biomechanical_Features_Of_Orthopedic_Patients,0.44,0.55,0.44,0.35,0.39,0.56,-1.02,0.55,0.53
Student_Alcohol_Consumption,0.39,0.52,0.62,0.46,0.61,0.46,0.61,0.50,0.50
